z_nm,T_article_K,T_eq5_K,T_model_K,eq5_minus_article_K,model_minus_article_K,local_alpha_eff_um^-1
0.000000000000000000e+00,1.515789473684210634e+03,3.723639680975220472e+03,3.129760940111214950e+03,2.207850207291009610e+03,1.613971466427004316e+03,nan
5.897435897435897800e+00,1.510526315789473756e+03,3.411689287065725239e+03,2.873265884183311755e+03,1.901162971276251483e+03,1.362739568393837999e+03,7.356420101970930769e-01
1.179487179487179560e+01,1.478947368421052715e+03,3.128162751192765882e+03,2.589729866058696643e+03,1.649215382771713166e+03,1.110782497637643928e+03,2.608901495659549319e+00
1.769230769230769340e+01,1.360526315789473756e+03,2.870470188164801584e+03,2.332022738401550669e+03,1.509943872375327828e+03,9.714964226120769126e+02,7.722470777198813252e+00
2.358974358974359120e+01,1.300000000000000000e+03,2.636257694313166212e+03,2.097792265930876965e+03,1.336257694313166212e+03,7.977922659308769653e+02,8.282991191403253239e+00
2.948717948717948900e+01,1.300000000000000000e+03,2.423385845658963262e+03,1.884900368771632202e+03,1.123385845658963262e+03,5.849003687716322020e+02,6.626392953122602236e+00
3.538461538461538680e+01,1.144736842105263122e+03,2.229910155253809535e+03,1.691403630914717496e+03,1.085173313148546413e+03,5.466667888094543741e+02,1.029045431167912916e+01
4.128205128205128460e+01,1.089473684210526244e+03,2.054063311181166682e+03,1.515535582161528282e+03,9.645896269706404382e+02,4.260618979510020381e+02,1.045932561527700599e+01
4.717948717948718240e+01,1.034210526315789366e+03,1.894239032970530616e+03,1.355690592240638807e+03,8.600285066547412498e+02,3.214800659248494412e+02,1.069009307671444020e+01
5.307692307692308020e+01,9.736842105263157237e+02,1.748977398960205392e+03,1.210409230451857866e+03,7.752931884338896680e+02,2.367250199255421421e+02,1.112324174757723938e+01
5.897435897435897800e+01,9.342105263157894797e+02,1.616951510580842523e+03,1.078382673397070221e+03,6.827409842650530436e+02,1.441721470812807411e+02,1.103476102002272619e+01
6.487179487179487580e+01,8.868421052631578050e+02,1.496955371744066269e+03,9.584325316221007824e+02,6.101132664809084645e+02,7.159042635894297746e+01,1.122819433408821688e+01
7.076923076923077360e+01,8.605263157894736423e+02,1.387892872619950595e+03,8.924310317714324583e+02,5.273665568304769522e+02,3.190471598195881597e+01,1.094081024982617301e+01
7.666666666666667140e+01,8.800000000000000000e+02,1.288767777175193487e+03,8.854827596139946309e+02,4.087677771751934870e+02,5.482759613994630854e+00,9.653749745256254400e+00
8.256410256410256920e+01,8.800000000000000000e+02,1.198674623012733264e+03,8.817925824370331611e+02,3.186746230127332637e+02,1.792582437033161114e+00,8.964196192023663912e+00
8.846153846153846700e+01,8.800000000000000000e+02,1.116790450386998600e+03,8.788313831085073389e+02,2.367904503869986002e+02,-1.168616891492661125e+00,8.366583112555419532e+00
9.435897435897436480e+01,8.800000000000000000e+02,1.042367284843141306e+03,8.759686241054916991e+02,1.623672848431413058e+02,-4.031375894508300917e+00,7.843671668020706811e+00
1.002564102564102626e+02,8.800000000000000000e+02,9.747253048125867281e+02,8.727103187909095823e+02,9.472530481258672808e+01,-7.289681209090417724e+00,7.382279216960665025e+00
1.061538461538461604e+02,8.800000000000000000e+02,9.132466317540259979e+02,8.679680723797970359e+02,3.324663175402599791e+01,-1.203192762020296414e+01,6.972152593796183240e+00
1.120512820512820582e+02,8.800000000000000000e+02,8.573696861156206523e+02,8.531564810610270797e+02,-2.263031388437934766e+01,-2.684351893897292030e+01,6.605197194122699678e+00
1.179487179487179560e+02,8.800000000000000000e+02,8.065840575627198632e+02,8.065793765803111910e+02,-7.341594243728013680e+01,-7.342062341968880901e+01,6.274937334416564205e+00
1.238461538461538538e+02,8.800000000000000000e+02,7.604258426129659938e+02,7.604207812533754804e+02,-1.195741573870340062e+02,-1.195792187466245196e+02,5.976130794682442016e+00
1.297435897435897516e+02,5.868421052631578050e+02,7.184734070902204621e+02,7.184664438059841132e+02,1.316313018270626571e+02,1.316243385428263082e+02,1.113131686665044029e+01
1.356410256410256352e+02,5.710526315789472847e+02,6.803435346892622420e+02,6.803340169239889974e+02,1.092909031103149573e+02,1.092813853450417128e+02,1.106476374503441207e+01
1.415384615384615472e+02,5.499999999999998863e+02,6.456879264701610737e+02,6.456754344253148474e+02,9.568792647016118735e+01,9.567543442531496112e+01,1.117496956155194532e+01
1.474358974358974592e+02,5.131578947368420813e+02,6.141900193068097451e+02,6.141743196803178080e+02,1.010321245699676638e+02,1.010164249434757266e+02,1.180930673390655627e+01
1.533333333333333428e+02,4.947368421052631220e+02,5.855620942275932066e+02,5.855431013568041863e+02,9.082525212233008460e+01,9.080625925154106426e+01,1.194456389920153683e+01
1.592307692307692264e+02,4.842105263157893660e+02,5.595426482342161307e+02,5.595203915578634906e+02,7.533212191842676475e+01,7.530986524207412458e+01,1.185116204706325860e+01
1.651282051282051384e+02,4.657894736842104066e+02,5.358940055914497407e+02,5.358686025277133922e+02,7.010453190723933403e+01,7.007912884350298555e+01,1.206595907188168582e+01
1.710256410256410504e+02,4.500000000000000000e+02,5.144001467680293445e+02,5.143717802248288535e+02,6.440014676802934446e+01,6.437178022482885353e+01,1.223508715241984035e+01
1.769230769230769340e+02,4.289473684210524880e+02,4.948647351970637374e+02,4.948414925712647232e+02,6.591736677601124939e+01,6.589412415021223524e+01,1.268203465592368318e+01
1.828205128205128176e+02,4.263157894736841627e+02,4.771093238313216034e+02,4.770923877226520631e+02,5.079353435763744073e+01,5.077659824896790042e+01,1.238572108369987212e+01
1.887179487179487296e+02,4.052631578947366506e+02,4.609717251110943153e+02,4.609596829821825281e+02,5.570856721635766462e+01,5.569652508744587749e+01,1.296477337523700690e+01
1.946153846153846416e+02,3.947368421052631220e+02,4.463045294550393578e+02,4.462962167604555361e+02,5.156768734977623581e+01,5.155937465519241414e+01,1.311327959847161040e+01
2.005128205128205252e+02,3.921052631578945693e+02,4.329737587410948549e+02,4.329682214220817968e+02,4.086849558320028564e+01,4.086295826418722754e+01,1.286808904783897134e+01
2.064102564102564088e+02,3.736842105263156100e+02,4.208576424776290423e+02,4.208541046126942433e+02,4.717343195131343236e+01,4.716989408637863335e+01,1.358149749755962254e+01
2.123076923076923208e+02,3.710526315789472847e+02,4.098455054857099640e+02,4.098433414331447580e+02,3.879287390676267933e+01,3.879070985419747331e+01,1.337553055290084636e+01
2.182051282051282328e+02,3.710526315789472847e+02,3.998367569319794939e+02,3.998354673819201253e+02,2.878412535303220920e+01,2.878283580297284061e+01,1.301402972714676842e+01
2.241025641025641164e+02,3.578947368421052033e+02,3.907399714774114159e+02,3.907391629029359592e+02,3.284523463530621257e+01,3.284442606083075589e+01,1.358539760540200447e+01
