r_um,T_article_K,T_eq5_K,eq5_minus_article_K,T_model_0_ns_K,model_minus_article_0_ns_K,T_model_1_ns_K,model_minus_article_1_ns_K,T_model_5_ns_K,model_minus_article_5_ns_K
-5.000000000000000000e+01,3.210526315789472847e+02,3.063846964216916149e+02,-1.466793515725566976e+01,3.064205807114130380e+02,-1.463205086753424666e+01,3.067168395709292099e+02,-1.433579200801807474e+01,3.065950795136384386e+02,-1.445755206530884607e+01
-4.743589743589743790e+01,3.184210526315789593e+02,3.111265501789470704e+02,-7.294502452631888900e+00,3.111378850198545933e+02,-7.283167611724365997e+00,3.116517986384698133e+02,-6.769253993109145995e+00,3.114405351646506688e+02,-6.980517466928290560e+00
-4.487179487179486870e+01,3.368421052631579187e+02,3.188278978199473386e+02,-1.801420744321058010e+01,3.188994049005405600e+02,-1.794270036261735868e+01,3.197714243002324679e+02,-1.707068096292545079e+01,3.194128670775185697e+02,-1.742923818563934901e+01
-4.230769230769230660e+01,3.605263157894735286e+02,3.309379521201622083e+02,-2.958836366931132034e+01,3.310090206338750249e+02,-2.951729515559850370e+01,3.324397495964194036e+02,-2.808656619305412505e+01,3.318513388387345913e+02,-2.867497695073893738e+01
-3.974358974358974450e+01,3.921052631578945693e+02,3.493709883283217437e+02,-4.273427482957282564e+01,3.494892250502020943e+02,-4.261603810769247502e+01,3.517725711353994029e+02,-4.033269202249516638e+01,3.508333216417997846e+02,-4.127194151609478467e+01
-3.717948717948718240e+01,4.263157894736841627e+02,3.765386009031009849e+02,-4.977718857058317781e+01,3.767203116371769624e+02,-4.959547783650720021e+01,3.802599893835513853e+02,-4.605580009013277731e+01,3.788036800883364776e+02,-4.751210938534768502e+01
-3.461538461538461320e+01,4.684210526315789593e+02,4.152250087784645984e+02,-5.319604385311436090e+01,4.153184502435104264e+02,-5.310260238806853295e+01,4.206388593721160873e+02,-4.778219325946287199e+01,4.184495383429660365e+02,-4.997151428861292288e+01
-3.205128205128205110e+01,5.210526315789472847e+02,4.684577788519067099e+02,-5.259485272704057479e+01,4.687750627628046232e+02,-5.227756881614266149e+01,4.765616614304464065e+02,-4.449097014850087817e+01,4.733569982702713901e+02,-4.769563330867589457e+01
-2.948717948717948545e+01,5.921052631578946830e+02,5.391929546483490867e+02,-5.291230850954559628e+01,5.392078151426594559e+02,-5.289744801523522710e+01,5.502435765655038722e+02,-4.186168659239081080e+01,5.457005164823118548e+02,-4.640474667558282817e+01
-2.692307692307691980e+01,8.800000000000000000e+02,6.298845901985233695e+02,-2.501154098014766305e+02,6.302600353298680602e+02,-2.497399646701319398e+02,6.438038658856132770e+02,-2.361961341143867230e+02,6.377405536472808762e+02,-2.422594463527191238e+02
