z_nm,T_article_K,T_model_0_ns_K,model_minus_article_0_ns_K,T_model_1_ns_K,model_minus_article_1_ns_K,T_model_5_ns_K,model_minus_article_5_ns_K
0.000000000000000000e+00,1.515789473684210634e+03,3.129760940111214950e+03,1.613971466427004316e+03,2.462136849198265281e+03,9.463473755140546473e+02,1.877136957750903321e+03,3.613474840666926866e+02
5.897435897435897800e+00,1.510526315789473756e+03,2.873265884183311755e+03,1.362739568393837999e+03,2.434860953830630933e+03,9.243346380411571772e+02,1.870241328751161973e+03,3.597150129616882168e+02
1.179487179487179560e+01,1.478947368421052715e+03,2.589729866058696643e+03,1.110782497637643928e+03,2.356680342856357584e+03,8.777329744353048682e+02,1.849797944810691661e+03,3.708505763896389453e+02
1.769230769230769340e+01,1.360526315789473756e+03,2.332022738401550669e+03,9.714964226120769126e+02,2.237358689554890589e+03,8.768323737654168326e+02,1.816520657689731706e+03,4.559943419002579503e+02
2.358974358974359120e+01,1.300000000000000000e+03,2.097792265930876965e+03,7.977922659308769653e+02,2.089921934083957240e+03,7.899219340839572396e+02,1.771545262255407579e+03,4.715452622554075788e+02
2.948717948717948900e+01,1.300000000000000000e+03,1.884900368771632202e+03,5.849003687716322020e+02,1.927586325163908668e+03,6.275863251639086684e+02,1.716353859003767411e+03,4.163538590037674112e+02
3.538461538461538680e+01,1.144736842105263122e+03,1.691403630914717496e+03,5.466667888094543741e+02,1.761639537848604050e+03,6.169026957433409279e+02,1.652678930092572955e+03,5.079420879873098329e+02
4.128205128205128460e+01,1.089473684210526244e+03,1.515535582161528282e+03,4.260618979510020381e+02,1.600611791386952518e+03,5.111381071764262742e+02,1.582395730169029775e+03,4.929220459585035314e+02
4.717948717948718240e+01,1.034210526315789366e+03,1.355690592240638807e+03,3.214800659248494412e+02,1.450408791703187717e+03,4.161982653873983509e+02,1.507412339940948641e+03,4.732018136251592750e+02
5.307692307692308020e+01,9.736842105263157237e+02,1.210409230451857866e+03,2.367250199255421421e+02,1.314852603148637627e+03,3.411683926223219032e+02,1.429566545265871355e+03,4.558823347395556311e+02
5.897435897435897800e+01,9.342105263157894797e+02,1.078382673397070221e+03,1.441721470812807411e+02,1.196208758951004029e+03,2.619982326352145492e+02,1.350538073476166346e+03,4.163275471603768665e+02
6.487179487179487580e+01,8.868421052631578050e+02,9.584325316221007824e+02,7.159042635894297746e+01,1.095441651119209382e+03,2.085995458560515772e+02,1.271790245383820093e+03,3.849481401206622877e+02
7.076923076923077360e+01,8.605263157894736423e+02,8.924310317714324583e+02,3.190471598195881597e+01,1.012107680262269696e+03,1.515813644727960536e+02,1.194507730728337265e+03,3.339814149388636224e+02
7.666666666666667140e+01,8.800000000000000000e+02,8.854827596139946309e+02,5.482759613994630854e+00,9.446615898061199914e+02,6.466158980611999141e+01,1.119580509476669476e+03,2.395805094766694765e+02
8.256410256410256920e+01,8.800000000000000000e+02,8.817925824370331611e+02,1.792582437033161114e+00,8.917421432925012823e+02,1.174214329250128230e+01,1.047604953194706241e+03,1.676049531947062405e+02
8.846153846153846700e+01,8.800000000000000000e+02,8.788313831085073389e+02,-1.168616891492661125e+00,8.789955519203969061e+02,-1.004448079603093902e+00,9.788865398709032206e+02,9.888653987090322062e+01
9.435897435897436480e+01,8.800000000000000000e+02,8.759686241054916991e+02,-4.031375894508300917e+00,8.755738787095586986e+02,-4.426121290441301426e+00,9.134540834882660647e+02,3.345408348826606471e+01
1.002564102564102626e+02,8.800000000000000000e+02,8.727103187909095823e+02,-7.289681209090417724e+00,8.662653881594116001e+02,-1.373461184058839990e+01,8.643252127005583816e+02,-1.567478729944161842e+01
1.061538461538461604e+02,8.800000000000000000e+02,8.679680723797970359e+02,-1.203192762020296414e+01,8.442529925186315722e+02,-3.574700748136842776e+01,8.336646164989338104e+02,-4.633538350106618964e+01
