melt_smoothing_width_K,point,label,rmse_K,max_abs_error_K
2,Point 5,r=0 um, z=-10 nm,140.46255,559.95064
5,Point 5,r=0 um, z=-10 nm,141.91397,559.95064
10,Point 5,r=0 um, z=-10 nm,141.40258,559.95064
20,Point 5,r=0 um, z=-10 nm,139.11663,559.95064
2,Point 4,r=0 um, z=-70 nm,70.423159,233.15743
5,Point 4,r=0 um, z=-70 nm,72.497368,235.07744
10,Point 4,r=0 um, z=-70 nm,73.178568,236.43735
20,Point 4,r=0 um, z=-70 nm,73.661306,239.11707
2,Point 3,r=0 um, z=-150 nm,33.87382,87.583858
5,Point 3,r=0 um, z=-150 nm,34.798934,87.393157
10,Point 3,r=0 um, z=-150 nm,34.968179,87.441044
20,Point 3,r=0 um, z=-150 nm,34.904267,88.218296
2,Point 8,r=5 um, z=-10 nm,133.55785,557.25994
5,Point 8,r=5 um, z=-10 nm,134.75488,557.25994
10,Point 8,r=5 um, z=-10 nm,134.18145,557.25994
20,Point 8,r=5 um, z=-10 nm,132.06227,557.25994
2,Point 9,r=10 um, z=-10 nm,116.05309,554.02807
5,Point 9,r=10 um, z=-10 nm,116.78015,554.02807
10,Point 9,r=10 um, z=-10 nm,116.12626,554.02807
20,Point 9,r=10 um, z=-10 nm,114.56423,554.02741
