r_um,T_corrected_K,T_raw_median_K,T_p75_corrected_K,T_raw_p75_K,n_valid_pixels
-5.000000000000000000e+01,3.210526315789472847e+02,3.210526315789472847e+02,3.210526315789472847e+02,3.210526315789472847e+02,2.500000000000000000e+01
-4.743589743589743790e+01,3.184210526315789593e+02,3.184210526315789593e+02,3.210526315789472847e+02,3.210526315789472847e+02,2.500000000000000000e+01
-4.487179487179486870e+01,3.368421052631579187e+02,3.368421052631579187e+02,3.368421052631579187e+02,3.368421052631579187e+02,2.500000000000000000e+01
-4.230769230769230660e+01,3.605263157894735286e+02,3.605263157894735286e+02,3.605263157894735286e+02,3.605263157894735286e+02,2.500000000000000000e+01
-3.974358974358974450e+01,3.921052631578945693e+02,3.921052631578945693e+02,3.921052631578945693e+02,3.921052631578945693e+02,2.500000000000000000e+01
-3.717948717948718240e+01,4.263157894736841627e+02,4.263157894736841627e+02,4.263157894736841627e+02,4.263157894736841627e+02,2.500000000000000000e+01
-3.461538461538461320e+01,4.684210526315789593e+02,4.684210526315789593e+02,4.710526315789472847e+02,4.710526315789472847e+02,2.500000000000000000e+01
-3.205128205128205110e+01,5.210526315789472847e+02,5.210526315789472847e+02,5.315789473684210407e+02,5.315789473684210407e+02,2.500000000000000000e+01
-2.948717948717948545e+01,5.921052631578946830e+02,5.921052631578946830e+02,5.973684210526315610e+02,5.973684210526315610e+02,2.500000000000000000e+01
-2.692307692307691980e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
-2.435897435897435770e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
-2.179487179487179205e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
-1.923076923076922640e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.131578947368420813e+02,2.500000000000000000e+01
-1.666666666666666430e+01,8.800000000000000000e+02,8.500000000000000000e+02,8.526315789473683253e+02,8.526315789473683253e+02,2.500000000000000000e+01
-1.410256410256410220e+01,9.000000000000000000e+02,9.000000000000000000e+02,9.078947368421052033e+02,9.078947368421052033e+02,2.500000000000000000e+01
-1.153846153846153300e+01,9.447368421052631220e+02,9.447368421052631220e+02,9.500000000000000000e+02,9.500000000000000000e+02,2.500000000000000000e+01
-8.974358974358970897e+00,9.894736842105262440e+02,9.894736842105262440e+02,9.973684210526315610e+02,9.973684210526315610e+02,2.500000000000000000e+01
-6.410256410256408799e+00,1.010526315789473642e+03,1.010526315789473642e+03,1.018421052631578959e+03,1.018421052631578959e+03,2.500000000000000000e+01
-3.846153846153839595e+00,1.039473684210526244e+03,1.039473684210526244e+03,1.044736842105263122e+03,1.044736842105263122e+03,2.500000000000000000e+01
-1.282051282051277497e+00,1.050000000000000000e+03,1.050000000000000000e+03,1.055263157894736878e+03,1.055263157894736878e+03,2.500000000000000000e+01
1.282051282051284602e+00,1.044736842105263122e+03,1.044736842105263122e+03,1.055263157894736878e+03,1.055263157894736878e+03,2.500000000000000000e+01
3.846153846153853806e+00,1.034210526315789366e+03,1.034210526315789366e+03,1.044736842105263122e+03,1.044736842105263122e+03,2.500000000000000000e+01
6.410256410256415904e+00,9.973684210526315610e+02,9.973684210526315610e+02,1.005263157894736878e+03,1.005263157894736878e+03,2.500000000000000000e+01
8.974358974358978003e+00,9.789473684210526017e+02,9.789473684210526017e+02,9.815789473684210407e+02,9.815789473684210407e+02,2.500000000000000000e+01
1.153846153846154721e+01,9.236842105263157237e+02,9.236842105263157237e+02,9.289473684210526017e+02,9.289473684210526017e+02,2.500000000000000000e+01
1.410256410256410220e+01,8.842105263157894797e+02,8.842105263157894797e+02,8.868421052631578050e+02,8.868421052631578050e+02,2.500000000000000000e+01
1.666666666666667140e+01,8.800000000000000000e+02,8.263157894736841627e+02,8.800000000000000000e+02,8.315789473684210407e+02,2.500000000000000000e+01
1.923076923076924061e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
2.179487179487179560e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
2.435897435897436480e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
2.692307692307693401e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,2.500000000000000000e+01
2.948717948717948900e+01,5.684210526315788456e+02,5.684210526315788456e+02,5.710526315789472847e+02,5.710526315789472847e+02,2.500000000000000000e+01
3.205128205128205821e+01,5.052631578947367643e+02,5.052631578947367643e+02,5.052631578947367643e+02,5.052631578947367643e+02,2.500000000000000000e+01
3.461538461538462741e+01,4.526315789473683253e+02,4.526315789473683253e+02,4.552631578947368780e+02,4.552631578947368780e+02,2.500000000000000000e+01
3.717948717948718240e+01,4.052631578947366506e+02,4.052631578947366506e+02,4.105263157894735286e+02,4.105263157894735286e+02,2.500000000000000000e+01
3.974358974358975161e+01,3.710526315789472847e+02,3.710526315789472847e+02,3.736842105263156100e+02,3.736842105263156100e+02,2.500000000000000000e+01
4.230769230769232081e+01,3.578947368421052033e+02,3.578947368421052033e+02,3.605263157894735286e+02,3.605263157894735286e+02,2.500000000000000000e+01
4.487179487179487580e+01,3.342105263157893660e+02,3.342105263157893660e+02,3.342105263157893660e+02,3.342105263157893660e+02,2.500000000000000000e+01
4.743589743589744501e+01,3.184210526315789593e+02,3.184210526315789593e+02,3.184210526315789593e+02,3.184210526315789593e+02,2.500000000000000000e+01
