z_nm,T_corrected_K,T_raw_median_K,T_p75_corrected_K,T_raw_p75_K,n_valid_pixels
0.000000000000000000e+00,1.515789473684210634e+03,1.515789473684210634e+03,1.518421052631578959e+03,1.518421052631578959e+03,1.840000000000000000e+02
5.897435897435897800e+00,1.510526315789473756e+03,1.510526315789473756e+03,1.518421052631578959e+03,1.518421052631578959e+03,1.370000000000000000e+02
1.179487179487179560e+01,1.478947368421052715e+03,1.478947368421052715e+03,1.486842105263157919e+03,1.486842105263157919e+03,1.850000000000000000e+02
1.769230769230769340e+01,1.360526315789473756e+03,1.360526315789473756e+03,1.381578947368421041e+03,1.381578947368421041e+03,1.810000000000000000e+02
2.358974358974359120e+01,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.850000000000000000e+02
2.948717948717948900e+01,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.850000000000000000e+02
3.538461538461538680e+01,1.144736842105263122e+03,1.144736842105263122e+03,1.152631578947368325e+03,1.152631578947368325e+03,1.850000000000000000e+02
4.128205128205128460e+01,1.089473684210526244e+03,1.089473684210526244e+03,1.097368421052631675e+03,1.097368421052631675e+03,1.850000000000000000e+02
4.717948717948718240e+01,1.034210526315789366e+03,1.034210526315789366e+03,1.042105263157894569e+03,1.042105263157894569e+03,1.850000000000000000e+02
5.307692307692308020e+01,9.736842105263157237e+02,9.736842105263157237e+02,9.789473684210526017e+02,9.789473684210526017e+02,1.850000000000000000e+02
5.897435897435897800e+01,9.342105263157894797e+02,9.342105263157894797e+02,9.394736842105262440e+02,9.394736842105262440e+02,1.850000000000000000e+02
6.487179487179487580e+01,8.868421052631578050e+02,8.868421052631578050e+02,8.894736842105262440e+02,8.894736842105262440e+02,1.850000000000000000e+02
7.076923076923077360e+01,8.605263157894736423e+02,8.605263157894736423e+02,8.657894736842105203e+02,8.657894736842105203e+02,1.850000000000000000e+02
7.666666666666667140e+01,8.800000000000000000e+02,8.131578947368420813e+02,8.800000000000000000e+02,8.184210526315788456e+02,1.420000000000000000e+02
8.256410256410256920e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
8.846153846153846700e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
9.435897435897436480e+01,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
1.002564102564102626e+02,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.770000000000000000e+02
1.061538461538461604e+02,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
1.120512820512820582e+02,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
1.179487179487179560e+02,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
1.238461538461538538e+02,8.800000000000000000e+02,8.078947368421052033e+02,8.800000000000000000e+02,8.078947368421052033e+02,1.850000000000000000e+02
1.297435897435897516e+02,5.868421052631578050e+02,5.868421052631578050e+02,5.894736842105262440e+02,5.894736842105262440e+02,1.850000000000000000e+02
1.356410256410256352e+02,5.710526315789472847e+02,5.710526315789472847e+02,5.710526315789472847e+02,5.710526315789472847e+02,1.850000000000000000e+02
1.415384615384615472e+02,5.499999999999998863e+02,5.499999999999998863e+02,5.526315789473683253e+02,5.526315789473683253e+02,1.850000000000000000e+02
1.474358974358974592e+02,5.131578947368420813e+02,5.131578947368420813e+02,5.184210526315788456e+02,5.184210526315788456e+02,1.850000000000000000e+02
1.533333333333333428e+02,4.947368421052631220e+02,4.947368421052631220e+02,4.999999999999998863e+02,4.999999999999998863e+02,1.850000000000000000e+02
1.592307692307692264e+02,4.842105263157893660e+02,4.842105263157893660e+02,4.894736842105262440e+02,4.894736842105262440e+02,1.850000000000000000e+02
1.651282051282051384e+02,4.657894736842104066e+02,4.657894736842104066e+02,4.684210526315789593e+02,4.684210526315789593e+02,1.850000000000000000e+02
1.710256410256410504e+02,4.500000000000000000e+02,4.500000000000000000e+02,4.500000000000000000e+02,4.500000000000000000e+02,1.850000000000000000e+02
1.769230769230769340e+02,4.289473684210524880e+02,4.289473684210524880e+02,4.289473684210524880e+02,4.289473684210524880e+02,1.850000000000000000e+02
1.828205128205128176e+02,4.263157894736841627e+02,4.263157894736841627e+02,4.263157894736841627e+02,4.263157894736841627e+02,1.850000000000000000e+02
1.887179487179487296e+02,4.052631578947366506e+02,4.052631578947366506e+02,4.078947368421052033e+02,4.078947368421052033e+02,1.850000000000000000e+02
1.946153846153846416e+02,3.947368421052631220e+02,3.947368421052631220e+02,3.973684210526314473e+02,3.973684210526314473e+02,1.850000000000000000e+02
2.005128205128205252e+02,3.921052631578945693e+02,3.921052631578945693e+02,3.921052631578945693e+02,3.921052631578945693e+02,1.850000000000000000e+02
2.064102564102564088e+02,3.736842105263156100e+02,3.736842105263156100e+02,3.736842105263156100e+02,3.736842105263156100e+02,1.850000000000000000e+02
2.123076923076923208e+02,3.710526315789472847e+02,3.710526315789472847e+02,3.710526315789472847e+02,3.710526315789472847e+02,1.850000000000000000e+02
2.182051282051282328e+02,3.710526315789472847e+02,3.710526315789472847e+02,3.736842105263156100e+02,3.736842105263156100e+02,1.850000000000000000e+02
2.241025641025641164e+02,3.578947368421052033e+02,3.578947368421052033e+02,3.578947368421052033e+02,3.578947368421052033e+02,1.850000000000000000e+02
2.300000000000000000e+02,3.605263157894735286e+02,3.605263157894735286e+02,3.605263157894735286e+02,3.605263157894735286e+02,1.850000000000000000e+02
