x_t_over_tau,B_terms_5,relative_error_terms_5,pseudo_Xc_terms_5,B_terms_10,relative_error_terms_10,pseudo_Xc_terms_10,B_terms_20,relative_error_terms_20,pseudo_Xc_terms_20,B_terms_50,relative_error_terms_50,pseudo_Xc_terms_50,B_terms_120,relative_error_terms_120,pseudo_Xc_terms_120,B_terms_300,relative_error_terms_300,pseudo_Xc_terms_300,B_terms_800,relative_error_terms_800,pseudo_Xc_terms_800
1.000000000000000048e-04,7.432745739895108006e-08,7.432745739895107779e+292,7.432745463666567775e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.071891319205127554e-04,7.966160774520308907e-08,9.184358066000000000e+10,7.966160457221729808e-08,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.673617379884035472e-19,0.000000000000000000e+00,8.673617379884035472e-19,8.673617379884035472e-19,0.000000000000000000e+00,8.673617379884035472e-19
1.148951000187308635e-04,8.537784640990503382e-08,3.281131838000000000e+10,8.537784276521679860e-08,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,3.333333333333333148e-01,1.734723475976807094e-18,2.602085213965210642e-18,0.000000000000000000e+00,2.602085213965210642e-18
1.231550603292826216e-04,9.150343545805822432e-08,3.516542616066666412e+10,9.150343127161899216e-08,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.320088400831418048e-04,9.806756615885620088e-08,5.653210296350000000e+10,9.806756135023259661e-08,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,0.000000000000000000e+00,1.734723475976807094e-18
1.414991297434575767e-04,1.051014931127691732e-07,1.051014931127691777e+293,1.051014875896074476e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.673617379884035472e-19,8.673617379884034638e+281,8.673617379884035472e-19,2.602085213965210642e-18,2.602085213965210778e+282,2.602085213965210642e-18
1.516716888470922469e-04,1.126386773783738526e-07,4.328785113233333588e+10,1.126386710346382920e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,3.333333333333333148e-01,1.734723475976807094e-18,2.602085213965210642e-18,0.000000000000000000e+00,2.602085213965210642e-18
1.625755666443793484e-04,1.207149390785797194e-07,6.958742459450000000e+10,1.207149317925317443e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,0.000000000000000000e+00,1.734723475976807094e-18
1.742633386009650781e-04,1.293686201289667714e-07,1.293686201289667630e+293,1.293686117608472029e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.867913599020782809e-04,1.386407576259990337e-07,7.992095544000000000e+10,1.386407480153696407e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,0.000000000000000000e+00,1.734723475976807094e-18
