r_um,fluence_mJ_cm2
-4.991304347826086740e+01,5.785123966942148366e-01
-4.973913043478260931e+01,6.198347107438016979e-01
-4.956521739130435122e+01,6.611570247933884481e-01
-4.939130434782608603e+01,7.024793388429751984e-01
-4.921739130434782794e+01,7.024793388429751984e-01
-4.904347826086956275e+01,7.024793388429751984e-01
-4.886956521739130466e+01,7.438016528925619486e-01
-4.869565217391304657e+01,7.851239669421488099e-01
-4.852173913043478137e+01,7.851239669421488099e-01
-4.834782608695652328e+01,7.851239669421488099e-01
-4.817391304347825809e+01,7.851239669421488099e-01
-4.800000000000000000e+01,8.677685950413223104e-01
-4.782608695652174191e+01,8.677685950413223104e-01
-4.765217391304347672e+01,8.677685950413223104e-01
-4.747826086956521863e+01,9.504132231404959219e-01
-4.730434782608695343e+01,9.504132231404959219e-01
-4.713043478260869534e+01,9.504132231404959219e-01
-4.695652173913043725e+01,9.504132231404959219e-01
-4.678260869565217206e+01,9.917355371900826722e-01
-4.660869565217391397e+01,1.033057851239669311e+00
-4.643478260869564878e+01,1.033057851239669311e+00
-4.626086956521739069e+01,1.115702479338843034e+00
-4.608695652173913260e+01,1.115702479338843034e+00
-4.591304347826086740e+01,1.157024793388429673e+00
-4.573913043478260931e+01,1.198347107438016534e+00
-4.556521739130435122e+01,1.198347107438016534e+00
-4.539130434782608603e+01,1.198347107438016534e+00
-4.521739130434782794e+01,1.280991735537190035e+00
-4.504347826086956275e+01,1.280991735537190035e+00
-4.486956521739130466e+01,1.363636363636363535e+00
-4.469565217391304657e+01,1.363636363636363535e+00
-4.452173913043478137e+01,1.363636363636363535e+00
-4.434782608695652328e+01,1.446280991735537258e+00
-4.417391304347825809e+01,1.446280991735537258e+00
-4.400000000000000000e+01,1.487603305785123897e+00
-4.382608695652174191e+01,1.528925619834710758e+00
-4.365217391304347672e+01,1.570247933884297620e+00
-4.347826086956521863e+01,1.611570247933884259e+00
-4.330434782608695343e+01,1.652892561983471120e+00
-4.313043478260869534e+01,1.694214876033057759e+00
-4.295652173913043725e+01,1.735537190082644621e+00
-4.278260869565217206e+01,1.776859504132231482e+00
-4.260869565217391397e+01,1.818181818181818121e+00
-4.243478260869564878e+01,1.859504132231404983e+00
-4.226086956521739069e+01,1.900826446280991844e+00
-4.208695652173913260e+01,1.942148760330578483e+00
-4.191304347826086740e+01,2.024793388429752206e+00
-4.173913043478260931e+01,2.024793388429752206e+00
-4.156521739130435122e+01,2.066115702479338623e+00
-4.139130434782608603e+01,2.148760330578512345e+00
-4.121739130434782794e+01,2.190082644628099207e+00
