case,Xc,min_time_in_plot_window_ns,critical_rate_K_per_ns,article_reference_K_per_ns,ratio_model_to_article,tangent_temperature_K,tangent_time_ns
m=50,1e-08,125.76615723584565,1.5966127688403338,316.0,0.005052572053292195,676.8060200668897,127.26566134172658
m=50,0.023,3164.684801668995,0.06706601083887809,nan,nan,664.551839464883,3212.4791357088143
m=50,0.03,3379.826053836639,0.06281591627561489,18.0,0.0034897731264230494,664.551839464883,3429.8339228198747
m=50,0.058,3986.0473279078515,0.05329875989635198,nan,nan,664.551839464883,4042.2734216347753
m=50,0.1,4581.781561201752,0.04639180700815222,6.4,0.007248719845023784,664.551839464883,4644.099344896337
m=50,0.125,4856.758389956306,0.0437735186713071,nan,nan,664.551839464883,4921.883528553079
m=50,0.165,5229.63637612261,0.04066160584031489,nan,nan,664.551839464883,5298.564975058265
m=50,0.3,6187.757628832667,0.03438123634420362,nan,nan,664.551839464883,6266.445987520159
m=50,0.5,7292.058043116934,0.029185690194909054,nan,nan,664.551839464883,7381.979288353382
m=50,0.95,10480.176096953126,0.02032054602339008,3.8,0.005347512111418443,664.551839464883,10602.47890421469
m=60,1e-08,12.486779011832565,16.324578856312737,316.0,0.05166005967187575,673.742474916388,12.63478383724747
m=60,0.023,305.1862369432299,0.7058633283288697,nan,nan,661.4882943143813,309.56659301588144
m=60,0.03,325.88431693270024,0.6612346445115121,18.0,0.036735258028417345,661.4882943143813,330.46015888511783
m=60,0.058,384.2061460697886,0.5612495140530065,nan,nan,661.4882943143813,389.33077038705756
m=60,0.1,441.51820744151337,0.48864365713362584,6.4,0.07635057142712903,661.4882943143813,447.1800718081641
m=60,0.125,467.9718993631182,0.4611106683627573,nan,nan,661.4882943143813,473.88126252094173
m=60,0.165,503.84385668490904,0.4283800153746284,nan,nan,661.4882943143813,510.0884678164202
m=60,0.3,596.0173328054562,0.3623010460360835,nan,nan,661.4882943143813,603.1219287836558
m=60,0.5,702.2528643339465,0.3076126564214002,nan,nan,661.4882943143813,710.3469285941161
m=60,0.95,1008.9529539626526,0.21424849675524754,3.8,0.05638118335664409,661.4882943143813,1019.8984310038888
m=67,1e-08,3.2733265329621277,63.06993635700916,316.0,0.19958840619306698,670.6789297658863,3.318872387142518
m=67,0.023,78.08203964125572,2.7938017721529604,nan,nan,658.4247491638796,79.30958203429374
m=67,0.03,83.36467059152582,2.617580101172205,18.0,0.14542111673178917,658.4247491638796,84.64889030020306
m=67,0.058,98.24950614498094,2.2225792548888856,nan,nan,658.4247491638796,99.69284575509894
m=67,0.1,112.8763802316178,1.935569129593847,6.4,0.3024326764990386,658.4247491638796,114.47550358618035
m=67,0.125,119.62769003057818,1.8266928206577748,nan,nan,658.4247491638796,121.29858306244026
m=67,0.165,128.782612902142,1.6972349597030438,nan,nan,658.4247491638796,130.55072285035197
m=67,0.3,152.30613433807457,1.43578300743527,nan,nan,658.4247491638796,154.323633647064
m=67,0.5,179.41821241643422,1.2193044801077284,nan,nan,658.4247491638796,181.7226578356734
m=67,0.95,257.68966912167775,0.8495297983978825,3.8,0.22356047326260065,658.4247491638796,260.8210462469785
m=80,1e-08,0.4393884966722561,482.38429865857853,316.0,1.5265325906917042,664.551839464883,0.44663178535088827
m=80,0.023,9.966906014402829,22.4649981464236,nan,nan,652.2976588628762,10.135871797228424
m=80,0.03,10.638640884005733,21.054918507093927,18.0,1.1697176948385515,652.2976588628762,10.814686414502397
m=80,0.058,12.530998427077327,17.89098240790138,nan,nan,652.2976588628762,12.727212846431575
m=80,0.1,14.388806694555765,15.5891860596605,6.4,2.435810321821953,652.2976588628762,14.60642911475281
m=80,0.125,15.2462953852511,14.715368038450048,nan,nan,652.2976588628762,15.473778198557879
m=80,0.165,16.40905497860685,13.675904519830814,nan,nan,652.2976588628762,16.649892576168753
m=80,0.3,19.396705277306573,11.575067011946764,nan,nan,652.2976588628762,19.671794634286737
m=80,0.5,22.840062984912688,9.834019898436802,nan,nan,652.2976588628762,23.154553630028644
m=80,0.95,32.780702114727525,6.856704497291638,3.8,1.8043959203399047,652.2976588628762,33.2087143651976
m=100,1e-08,0.048771461438655794,4543.8357986297615,316.0,14.379227210853676,655.3612040133779,0.04943814124057126
m=100,0.023,1.0190593814591522,229.4750251783264,nan,nan,643.1070234113713,1.0323257461439987
m=100,0.03,1.0870954396162889,215.18051165920713,18.0,11.954472869955952,643.1070234113713,1.100903491501167
m=100,0.058,1.2787775269433777,183.05605927472567,nan,nan,643.1070234113713,1.2941007117011407
m=100,0.1,1.467114977726451,159.64044249431763,6.4,24.943819139737126,643.1070234113713,1.4839158103502554
m=100,0.125,1.554040367785042,150.74124829589718,nan,nan,643.1070234113713,1.5715205974918036
m=100,0.165,1.6719089818233488,140.14778024568454,nan,nan,643.1070234113713,1.6903084456517687
m=100,0.3,1.9747555961449323,118.7179033832581,nan,nan,641.5752508361204,2.0083301875216812
m=100,0.5,2.3237827693747337,100.93960027752787,nan,nan,641.5752508361204,2.362053629183629
m=100,0.95,3.331351802579297,70.47434707567803,3.8,18.545880809388954,641.5752508361204,3.3831423639562073
