Default Dataset,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.104057447235224e-7,749.2251948117877,2.1350264222614414e-7,735.50841434627,2.1347456787334313e-7,729.3318653704596,2.2322928794340635e-7,727.9859507069066,2.1666411580652689e-7,725.9093331979592,2.1826555391183917e-7,721.7960758433383
1.4712634065616708e-7,746.2668477295225,1.2390195333607076e-7,726.9487524430793,1.4595726018157245e-7,721.5562098636951,1.3247530684895394e-7,719.4396146914739,1.560726854419916e-7,718.8510546488311,1.656549844142682e-7,717.51402391045
7.578858120077809e-8,739.6949640835596,7.519075207570929e-8,717.7294590958702,1.0593048011863318e-7,716.5612229357564,9.54249974502976e-8,711.0087697032768,1.193372842654115e-7,713.8871614589943,1.3049460520201392e-7,711.8816153514226
4.5315091487116344e-8,733.2119196893163,4.771439148810314e-8,706.4779678655734,6.722016215836105e-8,704.6234484859253,5.662164213736468e-8,695.5996014924993,9.470824654247697e-8,706.886628423484,9.829924771314991e-8,704.8499885778104
2.8758057665389746e-8,725.391844556692,3.335700458912196e-8,693.2253724902911,5.025467694339509e-8,692.7833972129857,4.7692783950659265e-8,685.2031880600045,6.872676837731237e-8,695.715092519735,7.294101458049413e-8,690.9466456836815
2.0715995599223476e-8,719.0198492270985,2.747527521857256e-8,682.1293499505039,4.201312916894179e-8,679.6374089397669,4.458346257708302e-8,668.6924131279031,5.832370640561216e-8,686.695687488895,6.282123281330097e-8,675.7595756022032
1.3444088424686156e-8,711.213099982232,2.6267745427311058e-8,671.1221666624363,4.0770969802127484e-8,670.0116760159403,5.0585458092173166e-8,650.9245627839682,5.213577365522964e-8,668.7856943422088,6.280654800714487e-8,664.7790440896515
1.0511638859907964e-8,704.2036830215498,2.787234380434968e-8,656.0594715333655,4.3585734226628044e-8,655.63970606899,6.00304293599742e-8,641.4187628499631,6.094248675145206e-8,649.6630454095489,7.179901498633398e-8,649.7607685864405
8.789316903769193e-9,699.2930933827448,3.332290449714305e-8,645.1855471228773,5.249734259960865e-8,643.397657182019,7.339644944189172e-8,633.3032972053709,7.506341731791492e-8,638.1206056298703,1.0340111399224423e-7,631.4487778257228
7.329999447810671e-9,688.2044741139341,4.388864871250504e-8,630.9379521283347,7.731532823459795e-8,626.471558748128,1.1304041643523969e-7,617.7764169860649,9.455338518742538e-8,630.0229078356219,1.382477010668032e-7,622.7003325126278
6.618513575493503e-9,675.790669340305,6.861238532880141e-8,617.478805492804,1.3119049730561558e-7,611.6887072619743,1.5227260350949515e-7,611.0912632941594,1.434748887412103e-7,615.8597101302129,1.8901363487251267e-7,613.2789298677565
6.470965871588028e-9,666.8556615985988,1.041182153031601e-7,606.0607406655329,2.1932693082339972e-7,599.6421047287864,2.1933334027463374e-7,601.0146711678553,2.1611081353210039e-7,605.8097697794248,2.1937500627346198e-7,609.9363530218036
7.5080967904083e-9,649.101137142422,1.9177044847135503e-7,593.3856004264284,,,,,,,,
9.815572339421776e-9,636.2216666243621,2.1928847804909833e-7,591.4067060943726,,,,,,,,
1.5691414915321214e-8,621.4032794375205,,,,,,,,,,
2.2434102439322896e-8,611.3222453486305,,,,,,,,,,
3.560005083044008e-8,599.9308322968755,,,,,,,,,,
1.010073839803752e-7,581.3367769119475,,,,,,,,,,
2.1755870508208023e-7,569.4412011066831,,,,,,,,,,
5.322646502171542e-8,591.2490164225702,,,,,,,,,,
